"meanmass","medianmass","Q1","Q3","Medium","rep","Time_min","Time_hrs","Trt"
464.960689654457,443.07891329638,380.338531074671,529.982474202542,"GluEA",4,146,2.43333333333333,"Fixed"
442.122791665322,417.762190827175,348.115381043342,507.9266562386,"GluEA",4,214,3.56666666666667,"Fixed"
432.704475158712,399.817562147761,326.099755408888,497.053636703452,"GluEA",4,269,4.48333333333333,"Fixed"
303.57068260226,290.204251434951,238.333232066844,355.377537905732,"GluEA",4,328,5.46666666666667,"Fixed"
211.576205946911,204.5744245829,171.50876502581,241.172487953134,"GluEA",4,368,6.13333333333333,"Fixed"
120.710991065596,118.470902091539,95.2340229296483,140.832689863005,"GluEA",1,3,0.05,"Fixed"
109.545286746359,104.79761137127,95.1020014103333,127.656200376083,"GluEA",2,3,0.05,"Fixed"
107.142278237396,108.434634498422,86.6618132462902,125.765198980499,"GluEA",3,3,0.05,"Fixed"
195.652489726634,187.203284976147,156.228825874772,225.400600399301,"GluEA",1,50,0.833333333333333,"Fixed"
164.986339576079,159.997810171639,126.311432321425,203.548473324065,"GluEA",2,50,0.833333333333333,"Fixed"
215.363317746366,177.721724237315,136.034523343879,215.245440925189,"GluEA",3,50,0.833333333333333,"Fixed"
370.150581595441,352.077380745304,289.2023728619,425.717860594291,"GluEA",1,96,1.6,"Fixed"
330.965620324682,329.129799427329,266.769560843198,395.506583756036,"GluEA",2,96,1.6,"Fixed"
328.853867776259,323.354886219837,263.901320427106,390.656721383847,"GluEA",3,96,1.6,"Fixed"
426.725551411585,414.410760204505,344.451823372357,489.385185315486,"GluEA",1,135,2.25,"Fixed"
420.246377330231,412.13634237277,346.754039640097,488.204420691294,"GluEA",2,135,2.25,"Fixed"
455.875619876831,430.81202623743,362.428931787941,526.480325505292,"GluEA",3,135,2.25,"Fixed"
433.556636311175,406.103624591196,336.593352643094,498.527836482246,"GluEA",1,249,4.15,"Fixed"
424.150034118314,399.804609348457,334.243251509022,486.900616700762,"GluEA",2,249,4.15,"Fixed"
431.374282555326,407.504792384504,339.520368414422,490.944731284109,"GluEA",3,249,4.15,"Fixed"
352.360355738131,336.229982146882,287.793605047627,394.057394867222,"GluEA",1,304,5.06666666666667,"Fixed"
336.462376846772,331.11442758221,279.601202678742,395.594275940484,"GluEA",2,304,5.06666666666667,"Fixed"
342.263902043093,324.828035218631,279.217863877452,389.183543409296,"GluEA",3,304,5.06666666666667,"Fixed"
182.244566337887,175.487505298563,150.838739118666,203.555969222313,"GluEA",1,358,5.96666666666667,"Fixed"
168.362339163871,163.129839650004,138.624622917013,189.234548442003,"GluEA",2,358,5.96666666666667,"Fixed"
179.892864537987,176.444749660324,150.357560482995,202.824577961642,"GluEA",3,358,5.96666666666667,"Fixed"
